Buzzword,Relation_Formula,Relation_Tokens,Relation_Types,Relations
熟女,10.003636363636364,275,131,21
女神,8.190077704722055,6692,1768,31
宅男,13.11034141514102,2021,736,36
嬌娃,2.6666666666666665,6,4,4
優質,14.489251934651762,2326,822,41
正妹,9.209361751553518,17219,3604,44
大媽,14.397932816537468,387,199,28
型男,7.31829573934837,399,146,20
美眉,5.5620805369127515,596,221,15
人妻,9.75483870967742,155,72,21
紳士,9.796650717703349,836,273,30
帥哥,8.619457392135772,8367,1759,41
淑女,9.333333333333334,306,119,24
肥宅,7.072601645776189,115204,18518,44
美女,6.6173103343001065,6551,1445,30
人氣,17.47019344650612,2533,1196,37
辣妹,6.70136518771331,1172,374,21
