Token,FuMouDiscuss,Linyuan,Boy-Girl,TaichungCont,Tainan,MenTalk,Food,PuzzleDragon,home-sale,TaichungBun,Hualien,Taoyuan,ToS,Matsu,Hsinchu,Taitung,I-Lan,Kaohsiung,Gossiping,PH-sea,Miaoli,ask,AllTogether,Daliao,FongShan,prozac,BuyTogether,NBA,ChungLi,FengYuan,movie,PingTung,Stock,Keelung,Jinmen,ChangHua,Baseball,Chiayi,Nantou,Sad,Hate,joke,LoL,Beauty,happy,WomenTalk,iPhone,Yunlin,StupidClown
人妻,13,1,7,19,2,1,181,4,5,3,8,0,23,3,10,11,8,1,1,3,7,4,2,33,4,5,3,278,3,15,13,5,2612,195,7,2,122,164,70,12,2,17,3,25,18,29,10,56,142
人氣,14,8,35,851,134,8,401,64,30,272,83,34,257,210,48,7,1808,130,4,21,71,567,45,154,59,52,42,502,19,80,155,39,10325,778,214,37,281,122,43,106,80,109,56,89,34,55,55,155,79
優質,16,1,27,155,34,8,266,86,36,89,15,31,301,98,44,3,1387,50,10,53,79,324,72,190,108,70,69,147,40,22,814,31,4105,209,294,79,154,1239,12,59,100,24,77,92,2,26,86,29,97
君子,10,0,8,27,26,0,101,1,2,3,5,6,5,11,2,7,13,5,0,3,1,156,3,8,2,3,0,46,0,40,6,0,668,64,13,1,58,56,29,2,3,2,2,5,10,46,3,2,50
型男,8,0,11,10,1,0,41,0,1,9,3,3,10,1,4,1,26,0,1,4,8,8,0,42,3,3,2,118,1,1,4,2,719,52,3,1,55,548,26,3,2,0,1,6,7,29,4,17,34
夥計,0,0,1,0,1,0,5,0,0,9,0,0,0,0,0,0,1,0,0,1,9,14,0,0,0,0,0,9,0,1,0,0,41,0,1,0,0,0,2,0,0,0,1,0,0,13,0,0,1
大哥,42,28,39,552,144,2,626,285,37,121,69,2,253,76,104,41,780,37,5,47,60,203,41,146,266,53,57,766,17,24,114,28,5500,1044,192,241,427,188,770,68,60,95,57,123,94,351,49,33,334
大姊,5,0,7,10,9,1,183,12,6,21,20,0,45,11,32,13,1,2,3,16,14,2,8,53,9,10,10,121,9,11,33,2,772,409,49,28,76,102,228,18,11,25,16,36,61,13,11,19,124
大媽,4,0,0,20,11,1,131,1,2,11,7,0,16,188,9,0,0,2,0,5,4,2,1,8,3,21,2,54,0,1,17,0,1670,297,7,0,41,26,100,6,0,9,16,4,6,25,9,6,28
太太,29,11,67,26,29,8,272,40,36,86,70,12,160,28,86,37,152,94,2,36,83,32,28,138,65,58,31,1086,27,947,294,43,4945,953,237,56,256,115,349,51,88,11,61,64,104,235,77,14,300
女友,147,6,49,514,74,1,5797,207,390,422,391,14,558,40,101,379,314,63,8,89,108,300,105,594,108,210,133,2308,23,34,301,28,33454,11643,556,120,6644,8523,2281,209,179,158,95,398,695,948,107,137,41551
女神,35,0,5,244,16,0,715,6,2,13,9,37,28,1,8,9,185,7,0,10,7,26,7,30,5,4,6,547,4,1283,3,6,8293,436,33,4,266,235,142,17,10,439,6,15,19,659,10,351,259
姑娘,2,1,5,143,6,2,81,7,1,11,6,28,11,1,3,3,18,6,1,14,6,7,11,16,3,2,2,87,6,7,1,1,809,77,8,6,42,147,50,3,3,8,2,6,3,84,2,15,72
婊子,2,0,0,21,7,0,1637,0,0,0,4,0,0,4,0,8,2,0,0,0,0,14,0,2,0,0,0,52,0,2,0,0,771,112,0,0,57,8,12,0,0,2,0,2,40,28,0,0,247
嬌娃,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,29,0,0,0,0,32,7,1,0,1,0,2,0,0,0,1,0,0,0,0,2,0
宅男,6,1,4,21,3,0,283,5,6,1,13,0,11,6,3,6,10,3,4,3,9,15,9,17,34,9,13,216,2,0,14,1,2784,107,5,2,155,508,54,18,6,3,5,41,12,99,14,21,202
